chembl_id	pref_name	canonical_smiles	standard_inchi	standard_inchi_key	max_phase	indication_class	withdrawn_flag	black_box_warning	drugind_id	max_phase_for_ind	mesh_id	mesh_heading	ref_type	ref_id	ref_url
CHEMBL1200689	NITRIC OXIDE	[N]=O	InChI=1S/NO/c1-2	MWUXSHHQAYIFBG-UHFFFAOYSA-N	4.0		0	0	23580	3.0	D016773	Leishmaniasis, Cutaneous	ClinicalTrials	NCT00317629	https://clinicaltrials.gov/ct2/results?id=%22NCT00317629%22
CHEMBL131	PREDNISOLONE	C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO	InChI=1S/C21H28O5/c1-19-7-5-13(23)9-12(19)3-4-14-15-6-8-21(26,17(25)11-22)20(15,2)10-16(24)18(14)19/h5,7,9,14-16,18,22,24,26H,3-4,6,8,10-11H2,1-2H3/t14-,15-,16-,18+,19-,20-,21-/m0/s1	OIGNJSKKLXVSLS-VWUMJDOOSA-N	4.0	Glucocorticoid	0	0	24801	2.0	D007918	Leprosy	ClinicalTrials	NCT00919542,NCT00919776,NCT00919815	https://clinicaltrials.gov/ct2/results?id=%22NCT00919542%22OR%22NCT00919776%22OR%22NCT00919815%22
CHEMBL160	CYCLOSPORINE	C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C	InChI=1S/C62H111N11O12/c1-25-27-28-40(15)52(75)51-56(79)65-43(26-2)58(81)67(18)33-48(74)68(19)44(29-34(3)4)55(78)66-49(38(11)12)61(84)69(20)45(30-35(5)6)54(77)63-41(16)53(76)64-42(17)57(80)70(21)46(31-36(7)8)59(82)71(22)47(32-37(9)10)60(83)72(23)50(39(13)14)62(85)73(51)24/h25,27,34-47,49-52,75H,26,28-33H2,1-24H3,(H,63,77)(H,64,76)(H,65,79)(H,66,78)/b27-25+/t40-,41+,42-,43+,44+,45+,46+,47+,49+,50+,51+,52-/m1/s1	PMATZTZNYRCHOR-CGLBZJNRSA-N	4.0	Immunosuppressant	0	1	25201	2.0	D007918	Leprosy	ClinicalTrials	NCT00919451,NCT00919542,NCT00919776,NCT00919815	https://clinicaltrials.gov/ct2/results?id=%22NCT00919451%22OR%22NCT00919542%22OR%22NCT00919776%22OR%22NCT00919815%22
CHEMBL628	PENTOXIFYLLINE	CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O	InChI=1S/C13H18N4O3/c1-9(18)6-4-5-7-17-12(19)10-11(14-8-15(10)2)16(3)13(17)20/h8H,4-7H2,1-3H3	BYPFEZZEUUWMEJ-UHFFFAOYSA-N	4.0	Vasodilator	0	0	26814	2.0	D016773	Leishmaniasis, Cutaneous	ClinicalTrials	NCT01381055,NCT01464242	https://clinicaltrials.gov/ct2/results?id=%22NCT01381055%22OR%22NCT01464242%22
CHEMBL1631694	FEXINIDAZOLE	CSc1ccc(OCc2ncc([N+](=O)[O-])n2C)cc1	InChI=1S/C12H13N3O3S/c1-14-11(13-7-12(14)15(16)17)8-18-9-3-5-10(19-2)6-4-9/h3-7H,8H2,1-2H3	MIWWSGDADVMLTG-UHFFFAOYSA-N	4.0		0	0	40610	2.0	D007898	Leishmaniasis, Visceral	ClinicalTrials	NCT01980199	https://clinicaltrials.gov/ct2/results?id=%22NCT01980199%22
CHEMBL125	MILTEFOSINE	CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)C	InChI=1S/C21H46NO4P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-20-25-27(23,24)26-21-19-22(2,3)4/h5-21H2,1-4H3	PQLXHQMOHUQAKB-UHFFFAOYSA-N	4.0		0	1	40826	4.0	D007898	Leishmaniasis, Visceral	ClinicalTrials	NCT00370825,NCT00371995,NCT00696969,NCT01067443,NCT01122771,NCT02011958,NCT02431143,NCT03129646	https://clinicaltrials.gov/ct2/results?id=%22NCT00370825%22OR%22NCT00371995%22OR%22NCT00696969%22OR%22NCT01067443%22OR%22NCT01122771%22OR%22NCT02011958%22OR%22NCT02431143%22OR%22NCT03129646%22
CHEMBL2206196	PAROMOMYCIN SULFATE	NC[C@@H]1O[C@H](O[C@H]2[C@@H](O)[C@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3N)O[C@@H]2CO)[C@H](N)[C@@H](O)[C@@H]1O.O=S(=O)(O)O	InChI=1S/C23H45N5O14.H2O4S/c24-2-7-13(32)15(34)10(27)21(37-7)41-19-9(4-30)39-23(17(19)36)42-20-12(31)5(25)1-6(26)18(20)40-22-11(28)16(35)14(33)8(3-29)38-22;1-5(2,3)4/h5-23,29-36H,1-4,24-28H2;(H2,1,2,3,4)/t5-,6+,7+,8-,9-,10-,11-,12+,13-,14-,15-,16-,17-,18-,19-,20-,21-,22-,23+;/m1./s1	LJRDOKAZOAKLDU-UDXJMMFXSA-N	4.0	Anti-Amebic	0	0	41420	3.0	D007898	Leishmaniasis, Visceral	ClinicalTrials	NCT00216346	https://clinicaltrials.gov/ct2/results?id=%22NCT00216346%22
CHEMBL267345	AMPHOTERICIN B	C[C@@H]1[C@H](O)[C@@H](C)/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)C[C@@H](O)[C@H](O)CC[C@@H](O)C[C@@H](O)CC(=O)O[C@H]1C)C[C@H](O)[C@H]2C(=O)O	InChI=1S/C47H73NO17/c1-27-17-15-13-11-9-7-5-6-8-10-12-14-16-18-34(64-46-44(58)41(48)43(57)30(4)63-46)24-38-40(45(59)60)37(54)26-47(61,65-38)25-33(51)22-36(53)35(52)20-19-31(49)21-32(50)23-39(55)62-29(3)28(2)42(27)56/h5-18,27-38,40-44,46,49-54,56-58,61H,19-26,48H2,1-4H3,(H,59,60)/b6-5+,9-7+,10-8+,13-11+,14-12+,17-15+,18-16+/t27-,28-,29-,30+,31+,32+,33-,34-,35+,36+,37-,38-,40+,41-,42+,43+,44-,46-,47+/m0/s1	APKFDSVGJQXUKY-INPOYWNPSA-N	4.0	Antifungal	0	1	42738	4.0	D007898	Leishmaniasis, Visceral	ClinicalTrials	NCT00216346,NCT00370825,NCT00371995,NCT00497601,NCT00628719,NCT00696969,NCT00832208,NCT01032187,NCT01067443,NCT01122771,NCT01310738,NCT01566552,NCT02011958,NCT03636659	https://clinicaltrials.gov/ct2/results?id=%22NCT00216346%22OR%22NCT00370825%22OR%22NCT00371995%22OR%22NCT00497601%22OR%22NCT00628719%22OR%22NCT00696969%22OR%22NCT00832208%22OR%22NCT01032187%22OR%22NCT01067443%22OR%22NCT01122771%22OR%22NCT01310738%22OR%22NCT01566552%22OR%22NCT02011958%22OR%22NCT03636659%22
CHEMBL125	MILTEFOSINE	CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)C	InChI=1S/C21H46NO4P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-20-25-27(23,24)26-21-19-22(2,3)4/h5-21H2,1-4H3	PQLXHQMOHUQAKB-UHFFFAOYSA-N	4.0		0	1	45214	4.0	D016773	Leishmaniasis, Cutaneous	ClinicalTrials	NCT00233545,NCT00471705,NCT00487253,NCT00600548,NCT01050907,NCT01380301,NCT01380314,NCT01462500,NCT02687971,NCT03023111,NCT03829917	https://clinicaltrials.gov/ct2/results?id=%22NCT00233545%22OR%22NCT00471705%22OR%22NCT00487253%22OR%22NCT00600548%22OR%22NCT01050907%22OR%22NCT01380301%22OR%22NCT01380314%22OR%22NCT01462500%22OR%22NCT02687971%22OR%22NCT03023111%22OR%22NCT03829917%22
CHEMBL106	FLUCONAZOLE	OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F	InChI=1S/C13H12F2N6O/c14-10-1-2-11(12(15)3-10)13(22,4-20-8-16-6-18-20)5-21-9-17-7-19-21/h1-3,6-9,22H,4-5H2	RFHAOTPXVQNOHP-UHFFFAOYSA-N	4.0	Antifungal	0	0	48987	3.0	D016773	Leishmaniasis, Cutaneous	ClinicalTrials	NCT01953744	https://clinicaltrials.gov/ct2/results?id=%22NCT01953744%22
