drugId,smiles,Violation(s)_ro5,Lipinski_ro5,MW,HBA,HBD,LogP,Ghose,AtomNum,MolRefractivity,Veber,RotBond,TPSA,REOS,Charge,HeavyAtom,QED,RingNum,phase
CHEMBL1282,CC(C)Cn1cnc2c(N)nc3ccccc3c21,0,0,240.30999999999997,4,2,2.8227,1,18,74.28440000000003,0,2,56.730000000000004,0,0,18,0,3,3
CHEMBL1397,CC[C@@H]([C@H](C)O)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@@H]5CO[C@@](Cn6cncn6)(c6ccc(F)cc6F)C5)cc4)CC3)cc2)c1=O,2,1,700.7910000000002,12,1,4.573200000000004,1,51,187.31279999999944,1,12,115.69999999999999,1,0,51,1,7,2
CHEMBL1200680,S=[Se]=S,0,0,143.094,0,0,0.9156,1,3,20.936,0,0,0.0,1,0,3,1,0,3
CHEMBL1235551,O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3[C@@H]2C1,0,0,312.41300000000007,4,0,2.5349000000000004,0,23,87.75500000000005,0,1,40.620000000000005,0,0,23,0,4,3
CHEMBL370143,NC[C@@H]1O[C@H](O[C@H]2[C@@H](O)[C@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3N)O[C@@H]2CO)[C@H](N)[C@@H](O)[C@@H]1O,3,1,615.6340000000004,19,18,-8.861700000000015,1,42,136.3874,1,9,347.32,1,0,42,1,4,3
CHEMBL1082,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,0,0,365.4110000000001,8,5,0.023700000000000443,0,25,90.69370000000004,0,4,132.96,0,0,25,0,3,2
CHEMBL1292,CC(C)/N=c1\cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1,1,0,473.40700000000015,4,1,7.489800000000005,1,33,138.13569999999993,0,4,42.21,1,0,33,1,5,4
CHEMBL131,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,0,0,360.4500000000002,5,3,1.5575999999999999,0,26,95.04840000000004,0,2,94.83,0,0,26,0,4,2
CHEMBL374478,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,3,1,822.9530000000003,16,6,4.335420000000004,1,59,220.47919999999948,1,4,220.14999999999995,1,0,59,1,6,3
CHEMBL777,O=C(O)[C@H]1/C(=C/CO)O[C@@H]2CC(=O)N21,0,0,199.16199999999998,6,2,-1.0956,1,14,42.92860000000002,0,2,87.07000000000001,1,0,14,0,2,2
